model,chassis,plate,year,reg_days,fines_count,fines_amount,ins_issue,ins_expiry,insurer,mortgagee
TOYOTA FORTUNER,MHFDX8FS5R0134718,H 82490,2024,0,0,0,24/01/24,22/01/25,ADAMJEE INSURANCE COMPANY LTD (DUBAI,EMIRATES ISLAMIC BANK
KIA SPORTAGE,U5YPU81D8SL300215,M 28158,2025,0,6,3300,16/10/24,03/10/25,ADAMJEE INSURANCE COMPANY LTD (DUBAI,EMIRATES ISLAMIC BANK
NISSAN PATROL,JN8BY2NY2P9415584,K 91297,2023,0,9,2260,02/09/23,03/10/25,ADAMJEE INSURANCE COMPANY LTD (DUBAI,FIRST ABU DHABI BANK P.J.S.C
CADILLAC CT4,1G6DK5RK0M0120550,I 64842,2021,0,4,1290,17/08/23,08/10/25,ADAMJEE INSURANCE COMPANY LTD (DUBAI,
EXEED LX,LVTDB21B7SE006695,V 52893,2025,2,6,3450,18/10/24,15/10/25,ADAMJEE INSURANCE COMPANY LTD (DUBAI,EMIRATES ISLAMIC BANK
NISSAN PATROL LE PLATINUM CITY,JN8AY2NY1R9497550,13006 CC,2024,2,2,600,16/10/24,15/10/25,ADAMJEE INSURANCE COMPANY LTD (DUBAI,EMIRATES ISLAMIC BANK
HONDA UNICORN,ME4KC20F2NA005383,77078 Motorcycle,2022,30,1,400,31/05/22,12/11/25,ADAMJEE INSURANCE COMPANY LTD (DUBAI,
JAC J7,LJ12FKT34R4003266,O 86514,2024,42,2,400,04/11/23,24/11/25,ADAMJEE INSURANCE COMPANY LTD (DUBAI,ﺕﺍﺭﺎﻴﺴﻠﻟ ﺭﻮﺘﺒﺤﻟﺍ ﺔﻛﺮﺷ
TOYOTA HIGHLANDER VXR,5TDLB3CH6PS595793,81754 CC,2023,73,0,0,27/12/24,25/12/25,DUBAI INSURANCE (.COMPANY(P.S.C,
LEXUS ES 300H,JTHB21B1XP2225554,81793 CC,2023,73,4,1850,27/12/24,25/12/25,DUBAI INSURANCE (.COMPANY(P.S.C,
MERCEDES VITO 116 CDI,W1WV0FEZ2P4142356,65114 CC,2023,73,0,0,27/12/24,25/12/25,DUBAI INSURANCE (.COMPANY(P.S.C,
TOYOTA RAIZE,MHKAA1BA3RJ108817,H 95258,2024,73,4,950,24/01/24,25/12/25,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES ISLAMIC BANK
TOYOTA RUSH,MHKEF8BF3PK050545,H 75706,2024,73,2,900,24/01/24,25/12/25,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES ISLAMIC BANK
TOYOTA VELOZ,MHFAB1BY8R3081711,H 95272,2024,73,10,4100,24/01/24,25/12/25,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES ISLAMIC BANK
JAC S3,LJ12EKR26P4724722,T 23013,2023,73,6,4250,30/11/23,25/12/25,DUBAI INSURANCE (.COMPANY(P.S.C,
MG MG3,LSJWP4U35SZ088879,M 30148,2025,99,7,2900,23/01/25,20/01/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES ISLAMIC BANK
FORD TERRITORY,LJXCU3BB4SHF52742,N 80942,2025,99,8,4650,23/01/25,20/01/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES ISLAMIC BANK
MG MG3,LSJWP4U37SZ107318,M 24818,2025,99,2,1150,23/01/25,20/01/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES ISLAMIC BANK
MG MG3,LSJWP4U36SZ092486,M 29014,2025,99,4,1900,23/01/25,20/01/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES ISLAMIC BANK
MG MG3,LSJWP4U36SZ092469,M 32925,2025,99,8,2625,23/01/25,20/01/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES ISLAMIC BANK
MG RX 9,LSJWC4W91SZ605155,I 67594,2025,99,9,4650,23/01/25,20/01/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES ISLAMIC BANK
HONDA UNICORN,ME4KC20E7MA005367,53813 Motorcycle,2021,106,0,0,16/10/21,27/01/26,AL AIN AHLIA INSURANCE CO. (DUBA,
MG MG 5,LSJA36E39RZ144316,H 20274,2024,215,0,0,06/06/24,16/05/26,DUBAI INSURANCE (.COMPANY(P.S.C,Dubai Islamic Bank
MG MG 5,LSJA36E34RZ113569,F 59190,2024,215,4,2000,28/05/24,16/05/26,DUBAI INSURANCE (.COMPANY(P.S.C,Dubai Islamic Bank
MG ZS,LSJW74U3XRZ072400,F 60582,2024,215,0,0,28/05/24,16/05/26,DUBAI INSURANCE (.COMPANY(P.S.C,Dubai Islamic Bank
MG ZS,LSJW74U3XRZ072221,F 91984,2024,215,7,1860,28/05/24,16/05/26,DUBAI INSURANCE (.COMPANY(P.S.C,Dubai Islamic Bank
MG GT,LSJA36U31RN034840,H 21755,2024,215,4,1600,06/06/24,16/05/26,DUBAI INSURANCE (.COMPANY(P.S.C,Dubai Islamic Bank
MG MG 5,LSJA36E36RZ113556,H 21726,2024,215,1,500,06/06/24,16/05/26,DUBAI INSURANCE (.COMPANY(P.S.C,Dubai Islamic Bank
NISSAN PATROL LE PLATINUM CITY,JN8AY3NY3S9012546,11415 EE,2025,227,6,2900,09/06/25,28/05/26,DUBAI INSURANCE (.COMPANY(P.S.C,
NISSAN PATROL LE PLATINUM CITY,JN8AY3NY9S9012406,11417 EE,2025,232,6,4950,09/06/25,02/06/26,DUBAI INSURANCE (.COMPANY(P.S.C,
CHEVROLET BLAZER,3GNKBHR40MS577284,J 39087,2021,247,1,600,25/05/23,17/06/26,DUBAI INSURANCE (.COMPANY(P.S.C,
NISSAN XTERRA,MNTAD3N66R6006461,28274 AA,2024,247,0,0,04/06/24,17/06/26,DUBAI INSURANCE (.COMPANY(P.S.C,Dubai Islamic Bank
SUZUKI ERTIGA,MA3NC2B18SA788521,Y 66429,2025,287,1,500,02/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
JAC S3,LJ12EKR25R4714248,W 71633,2024,287,0,0,13/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
MITSUBISHI XPANDER,MK2L6T1Y9RN002013,23983 AA,2024,287,0,0,05/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
SUZUKI ERTIGA,MA3NC2B11SA785377,W 95947,2025,287,2,900,02/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
JAC J7,LJ12FKT32R4002780,N 86785,2024,287,6,2400,03/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
JAC JS4,LJ12EKS31R4713021,N 77521,2024,287,0,0,03/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
JAC JS4,LJ12EKS34R4704894,O 44327,2024,287,1,150,03/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
SUZUKI CIAZ,MA3VC7A14RA498074,Y 83653,2024,287,0,0,02/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
